# E (eV)   ldos(E)   pdos(E)   
 -29.000  0.132E-06  0.132E-06
 -28.990  0.173E-06  0.173E-06
 -28.980  0.225E-06  0.225E-06
 -28.970  0.292E-06  0.292E-06
 -28.960  0.379E-06  0.379E-06
 -28.950  0.490E-06  0.490E-06
 -28.940  0.631E-06  0.631E-06
 -28.930  0.812E-06  0.812E-06
 -28.920  0.104E-05  0.104E-05
 -28.910  0.133E-05  0.133E-05
 -28.900  0.170E-05  0.170E-05
 -28.890  0.216E-05  0.216E-05
 -28.880  0.274E-05  0.274E-05
 -28.870  0.346E-05  0.346E-05
 -28.860  0.437E-05  0.437E-05
 -28.850  0.550E-05  0.550E-05
 -28.840  0.690E-05  0.690E-05
 -28.830  0.863E-05  0.863E-05
 -28.820  0.108E-04  0.108E-04
 -28.810  0.134E-04  0.134E-04
 -28.800  0.166E-04  0.166E-04
 -28.790  0.206E-04  0.206E-04
 -28.780  0.254E-04  0.254E-04
 -28.770  0.313E-04  0.313E-04
 -28.760  0.384E-04  0.384E-04
 -28.750  0.470E-04  0.470E-04
 -28.740  0.574E-04  0.574E-04
 -28.730  0.698E-04  0.698E-04
 -28.720  0.848E-04  0.848E-04
 -28.710  0.103E-03  0.103E-03
 -28.700  0.124E-03  0.124E-03
 -28.690  0.149E-03  0.149E-03
 -28.680  0.179E-03  0.179E-03
 -28.670  0.215E-03  0.215E-03
 -28.660  0.257E-03  0.257E-03
 -28.650  0.306E-03  0.306E-03
 -28.640  0.363E-03  0.363E-03
 -28.630  0.430E-03  0.430E-03
 -28.620  0.508E-03  0.508E-03
 -28.610  0.599E-03  0.599E-03
 -28.600  0.704E-03  0.704E-03
 -28.590  0.825E-03  0.825E-03
 -28.580  0.964E-03  0.964E-03
 -28.570  0.112E-02  0.112E-02
 -28.560  0.131E-02  0.131E-02
 -28.550  0.151E-02  0.151E-02
 -28.540  0.175E-02  0.175E-02
 -28.530  0.202E-02  0.202E-02
 -28.520  0.232E-02  0.232E-02
 -28.510  0.266E-02  0.266E-02
 -28.500  0.305E-02  0.305E-02
 -28.490  0.347E-02  0.347E-02
 -28.480  0.395E-02  0.395E-02
 -28.470  0.448E-02  0.448E-02
 -28.460  0.507E-02  0.507E-02
 -28.450  0.572E-02  0.572E-02
 -28.440  0.644E-02  0.644E-02
 -28.430  0.722E-02  0.722E-02
 -28.420  0.809E-02  0.809E-02
 -28.410  0.903E-02  0.903E-02
 -28.400  0.100E-01  0.100E-01
 -28.390  0.112E-01  0.112E-01
 -28.380  0.124E-01  0.124E-01
 -28.370  0.136E-01  0.136E-01
 -28.360  0.150E-01  0.150E-01
 -28.350  0.165E-01  0.165E-01
 -28.340  0.181E-01  0.181E-01
 -28.330  0.198E-01  0.198E-01
 -28.320  0.215E-01  0.215E-01
 -28.310  0.234E-01  0.234E-01
 -28.300  0.254E-01  0.254E-01
 -28.290  0.275E-01  0.275E-01
 -28.280  0.296E-01  0.296E-01
 -28.270  0.319E-01  0.319E-01
 -28.260  0.342E-01  0.342E-01
 -28.250  0.366E-01  0.366E-01
 -28.240  0.391E-01  0.391E-01
 -28.230  0.417E-01  0.417E-01
 -28.220  0.443E-01  0.443E-01
 -28.210  0.469E-01  0.469E-01
 -28.200  0.496E-01  0.496E-01
 -28.190  0.523E-01  0.523E-01
 -28.180  0.551E-01  0.551E-01
 -28.170  0.579E-01  0.579E-01
 -28.160  0.606E-01  0.606E-01
 -28.150  0.634E-01  0.634E-01
 -28.140  0.661E-01  0.661E-01
 -28.130  0.688E-01  0.688E-01
 -28.120  0.715E-01  0.715E-01
 -28.110  0.741E-01  0.741E-01
 -28.100  0.766E-01  0.766E-01
 -28.090  0.791E-01  0.791E-01
 -28.080  0.815E-01  0.815E-01
 -28.070  0.839E-01  0.839E-01
 -28.060  0.861E-01  0.861E-01
 -28.050  0.883E-01  0.883E-01
 -28.040  0.904E-01  0.904E-01
 -28.030  0.924E-01  0.924E-01
 -28.020  0.943E-01  0.943E-01
 -28.010  0.961E-01  0.961E-01
 -28.000  0.978E-01  0.978E-01
 -27.990  0.995E-01  0.995E-01
 -27.980  0.101E+00  0.101E+00
 -27.970  0.102E+00  0.102E+00
 -27.960  0.104E+00  0.104E+00
 -27.950  0.105E+00  0.105E+00
 -27.940  0.106E+00  0.106E+00
 -27.930  0.108E+00  0.108E+00
 -27.920  0.109E+00  0.109E+00
 -27.910  0.110E+00  0.110E+00
 -27.900  0.111E+00  0.111E+00
 -27.890  0.112E+00  0.112E+00
 -27.880  0.113E+00  0.113E+00
 -27.870  0.113E+00  0.113E+00
 -27.860  0.114E+00  0.114E+00
 -27.850  0.115E+00  0.115E+00
 -27.840  0.116E+00  0.116E+00
 -27.830  0.116E+00  0.116E+00
 -27.820  0.117E+00  0.117E+00
 -27.810  0.118E+00  0.118E+00
 -27.800  0.118E+00  0.118E+00
 -27.790  0.119E+00  0.119E+00
 -27.780  0.119E+00  0.119E+00
 -27.770  0.119E+00  0.119E+00
 -27.760  0.119E+00  0.119E+00
 -27.750  0.120E+00  0.120E+00
 -27.740  0.120E+00  0.120E+00
 -27.730  0.120E+00  0.120E+00
 -27.720  0.119E+00  0.119E+00
 -27.710  0.119E+00  0.119E+00
 -27.700  0.119E+00  0.119E+00
 -27.690  0.118E+00  0.118E+00
 -27.680  0.117E+00  0.117E+00
 -27.670  0.116E+00  0.116E+00
 -27.660  0.115E+00  0.115E+00
 -27.650  0.114E+00  0.114E+00
 -27.640  0.113E+00  0.113E+00
 -27.630  0.112E+00  0.112E+00
 -27.620  0.110E+00  0.110E+00
 -27.610  0.108E+00  0.108E+00
 -27.600  0.107E+00  0.107E+00
 -27.590  0.105E+00  0.105E+00
 -27.580  0.103E+00  0.103E+00
 -27.570  0.101E+00  0.101E+00
 -27.560  0.985E-01  0.985E-01
 -27.550  0.963E-01  0.963E-01
 -27.540  0.940E-01  0.940E-01
 -27.530  0.916E-01  0.916E-01
 -27.520  0.893E-01  0.893E-01
 -27.510  0.869E-01  0.869E-01
 -27.500  0.845E-01  0.845E-01
 -27.490  0.822E-01  0.822E-01
 -27.480  0.799E-01  0.799E-01
 -27.470  0.776E-01  0.776E-01
 -27.460  0.754E-01  0.754E-01
 -27.450  0.733E-01  0.733E-01
 -27.440  0.713E-01  0.713E-01
 -27.430  0.694E-01  0.694E-01
 -27.420  0.676E-01  0.676E-01
 -27.410  0.659E-01  0.659E-01
 -27.400  0.644E-01  0.644E-01
 -27.390  0.630E-01  0.630E-01
 -27.380  0.618E-01  0.618E-01
 -27.370  0.608E-01  0.608E-01
 -27.360  0.599E-01  0.599E-01
 -27.350  0.592E-01  0.592E-01
 -27.340  0.587E-01  0.587E-01
 -27.330  0.584E-01  0.584E-01
 -27.320  0.583E-01  0.583E-01
 -27.310  0.584E-01  0.584E-01
 -27.300  0.587E-01  0.587E-01
 -27.290  0.592E-01  0.592E-01
 -27.280  0.599E-01  0.599E-01
 -27.270  0.608E-01  0.608E-01
 -27.260  0.619E-01  0.619E-01
 -27.250  0.632E-01  0.632E-01
 -27.240  0.647E-01  0.647E-01
 -27.230  0.664E-01  0.664E-01
 -27.220  0.683E-01  0.683E-01
 -27.210  0.704E-01  0.704E-01
 -27.200  0.727E-01  0.727E-01
 -27.190  0.752E-01  0.752E-01
 -27.180  0.778E-01  0.778E-01
 -27.170  0.806E-01  0.806E-01
 -27.160  0.836E-01  0.836E-01
 -27.150  0.867E-01  0.867E-01
 -27.140  0.899E-01  0.899E-01
 -27.130  0.933E-01  0.933E-01
 -27.120  0.968E-01  0.968E-01
 -27.110  0.100E+00  0.100E+00
 -27.100  0.104E+00  0.104E+00
 -27.090  0.108E+00  0.108E+00
 -27.080  0.112E+00  0.112E+00
 -27.070  0.115E+00  0.115E+00
 -27.060  0.119E+00  0.119E+00
 -27.050  0.123E+00  0.123E+00
 -27.040  0.127E+00  0.127E+00
 -27.030  0.131E+00  0.131E+00
 -27.020  0.134E+00  0.134E+00
 -27.010  0.138E+00  0.138E+00
 -27.000  0.141E+00  0.141E+00
 -26.990  0.145E+00  0.145E+00
 -26.980  0.148E+00  0.148E+00
 -26.970  0.151E+00  0.151E+00
 -26.960  0.153E+00  0.153E+00
 -26.950  0.156E+00  0.156E+00
 -26.940  0.158E+00  0.158E+00
